Germany,India,Italy,South Korea,New Zealand,Singapore,Somalia,Uganda,UK,USA
427808,7864811,504509,25836,1935,57965,3897,11297,857045,8599842
437698,7909959,525782,25955,1940,57970,3941,11443,876842,8661982
450258,7946429,542789,26043,1941,57973,3941,11557,897742,8729385
463419,7990322,564778,26146,1943,57980,3941,11621,920666,8806228
479621,8040203,589766,26271,1949,57987,3941,11767,945380,8885632
498354,8088851,616595,26385,1950,57994,3941,12201,968458,8976684
517736,8137119,647674,26511,1957,58003,3941,12410,992876,9075924
531790,8184082,679430,26635,1959,58015,3941,12495,1014795,9165619
544346,8229313,709335,26732,1963,58019,3941,12743,1038056,9270467
569598,8267623,731588,26807,1968,58020,3941,12971,1057023,9355775
577131,8313876,759829,26925,1971,58029,4229,13099,1077101,9482891
608611,8364086,790377,27050,1973,58036,4229,13351,1102307,9587499
631172,8411724,824879,27195,1974,58043,4229,13568,1126471,9716853
653992,8462080,862681,27284,1976,58047,4229,13852,1149793,9844858
668114,8507754,902490,27427,1982,58054,4229,14066,1174772,9972308
682624,8553657,935104,27553,1986,58056,4229,14403,1195352,10087380
689146,8591730,960373,27653,1987,58064,4301,14574,1216749,10207953
715693,8636011,995463,27799,1988,58073,4301,14704,1237200,10348449
738094,8683916,1028424,27942,1991,58091,4301,14993,1260200,10495075
762832,8728795,1066401,28133,1995,58102,4301,15217,1293717,10659914
785093,8773479,1107303,28338,1998,58114,4301,15402,1321033,10840303
799733,8814579,1144552,28546,2001,58116,4301,15789,1347909,11008064
802946,8845127,1178529,28769,2001,58119,4301,16020,1372886,11144288
817526,8874290,1205881,28998,2005,58124,4301,16257,1394302,11307233
843757,8912907,1238072,29311,2008,58130,4382,16563,1414362,11471155
867484,8958483,1272352,29654,2010,58135,4382,16905,1434007,11644332
891525,9004365,1308528,30017,2013,58139,4382,17148,1456943,11835880
914118,9050597,1345767,30403,2019,58143,4382,17431,1477217,12034177
927990,9095806,1380531,30733,2028,58148,4382,17667,1497138,12213451
932367,9139865,1408868,31004,2030,58160,4445,17968,1515805,12360235
946822,9177840,1431795,31353,2031,58165,4445,18165,1531270,12534684
963192,9222216,1455022,31735,2039,58183,4445,18406,1542614,12710198
995879,9266705,1480874,32318,2040,58190,4445,18890,1560875,12893485
1017830,9309787,1509875,32887,2047,58195,4451,19115,1578432,13005807
1038649,9351109,1538217,33375,2050,58199,4451,19588,1593253,13213995
1052494,9392919,1564532,33824,2050,58205,4451,19944,1609144,13369528
1055691,9431691,1585178,34201,2056,58213,4451,20145,1621308,13509762
1069912,9462809,1601554,34652,2059,58218,4451,20459,1633736,13670332
1094678,9499413,1620901,35163,2060,58228,4451,21035,1647233,13858551
1117953,9534964,1641610,35703,2069,58230,4525,21409,1663470,14061108
1141544,9571559,1664829,36332,2069,58239,4525,21612,1678421,14284721
1157514,9608211,1688939,36915,2078,58242,4525,21898,1694803,14517506
1183640,9644222,1709991,37546,2078,58255,4525,22188,1710382,14733048
1194550,9677203,1728878,38161,2079,58260,4525,22499,1727754,14914060
1200006,9703770,1742557,38755,2085,58273,4579,23200,1742528,15108918
1229269,9735850,1757394,39432,2088,58285,4579,23200,1754914,15333410
1254358,9767371,1770149,40098,2088,58291,4579,25059,1771548,15555949
1287092,9796744,1787147,40786,2092,58297,4579,25730,1792614,15787464
1314309,9826775,1805873,41736,2092,58305,4579,26369,1814398,16027441
1336101,9857029,1825775,42766,2096,58313,4579,27071,1835952,16245026
1350810,9884100,1843712,43484,2096,58320,4579,27532,1854493,16432729
1357261,9906165,1855737,44364,2096,58325,4579,27766,1874870,16627550
1391086,9932547,1870576,45442,2100,58341,4579,28168,1893439,16836556
1423830,9956557,1888144,46453,2100,58353,4579,28733,1918739,17083256
1454009,9979447,1906377,47515,2110,58377,4662,29361,1954271,17322981
1486839,10004599,1921778,48570,2110,58386,4662,30071,1982831,17574950
1508518,10031223,1938083,49665,2116,58403,4662,30702,2010080,17766856
1514962,10055560,1953185,50591,2121,58422,4662,31187,2046164,17954675
1534218,10075116,1964054,51460,2121,58432,4662,31384,2079681,18153724
1570371,10099066,1977370,52550,2128,58461,4690,31910,2116612,18351735
1604129,10123778,1991278,53533,2128,58482,4690,32399,2155999,18581353
1630596,10146845,2009317,54770,2128,58495,4690,32914,2195148,18775557
1632736,10169118,2028354,55902,2128,58509,4690,33360,2227951,18873203
1646240,10187850,2038759,56872,2144,58519,4690,33563,2262739,19099491
1658639,10207871,2047696,57680,2144,58524,4690,33811,2295232,19255126
1672643,10224303,2056277,58725,2151,58529,4690,33973,2336692,19429760
1692109,10244852,2067487,59773,2151,58542,4690,34281,2389967,19630012
1741153,10266674,2083689,60740,2162,58569,4714,34677,2440206,19863696
